date,ism_pmi,head_CPI,head_CPI_roc,head_CPI_bps,core_CPI,core_CPIyoy,CRB,10yr_rate,10yr_roc,per_chg_yoy,swiss10yr,swiss_roc,dxy,dxy_roc,ind_pro_man,wti,wti_roc_qoq,wti_yoy,ba_credit_spread,copper_fut,copper_chg_yoy,gold,gold_roc_qoq,gold_chg_yoy,copper/gold,silver,gold/silver,pmi,roc_pmi,rocpmi_bps,fed rate
1/1/1948,51.7,23.68,,,,,,,,,,,,,,2.57,,58.64198,,,,,,,,,,,,,
2/1/1948,50.2,23.67,,,,,,,,,,,,,,2.57,,58.64198,,,,,,,,,,,,,
3/1/1948,43.3,23.5,,,,,,,,,,,,,,2.57,,58.64198,,,,,,,,,,,,,
4/1/1948,45.4,23.82,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
5/1/1948,49.5,24.01,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
6/1/1948,53,24.15,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
7/1/1948,48.4,24.4,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
8/1/1948,45.1,24.43,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
9/1/1948,42.1,24.36,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
10/1/1948,47.2,24.31,,,,,,,,,,,,,,2.57,,37.43316,,,,,,,,,,,,,
11/1/1948,42.4,24.16,,,,,,,,,,,,,,2.57,,24.15459,,,,,,,,,,,,,
12/1/1948,35,24.05,,,,,,,,,,,,,,2.57,,24.15459,,,,,,,,,,,,,
1/1/1949,32.9,24.01,1.393581081,,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
2/1/1949,31.3,23.91,1.013941698,,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
3/1/1949,34.5,23.91,1.744680851,,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
4/1/1949,35.5,23.92,0.419815281,-132.486557,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
5/1/1949,32.6,23.91,-0.416493128,-83.63084091,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
6/1/1949,31.6,23.92,-0.952380952,-53.58878245,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
7/1/1949,39,23.7,-2.868852459,-191.6471507,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
8/1/1949,47,23.7,-2.988129349,-11.92768901,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
9/1/1949,52.3,23.75,-2.50410509,48.40242588,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
10/1/1949,51,23.67,-2.632661456,-12.85563659,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
11/1/1949,51,23.7,-1.90397351,72.86879463,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
12/1/1949,57.3,23.61,-1.82952183,7.445168041,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
1/1/1950,59.1,23.51,-2.082465639,-25.29438098,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
2/1/1950,60.5,23.61,-1.254705144,82.7760495,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
3/1/1950,62.1,23.64,-1.12923463,12.54705144,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
4/1/1950,68.1,23.65,-1.128762542,0.047208806,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
5/1/1950,74.7,23.77,-0.585529067,54.32334745,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
6/1/1950,76.6,23.88,-0.16722408,41.83049871,,,,,,,,,,,,2.57,,0,,,,,,,,,,,,,
